Subject,Condition,LH_salvent_A,LH_salvent_B,LH_cont_A,LH_cont_B,LH_cont_C,LH_default_A,LH_default_B,LH_default_C,RH_salvent_A,RH_salvent_B,RH_cont_A,RH_cont_B,RH_cont_C,RH_default_A,RH_default_B,RH_default_C
LR_304020_25_L,places,1.398117924993798,-2.151808320569512,-22.48872452725181,4.821484100222234,-4.844673429952424,10.024811389804494,-3.6022914941242803,1.6609537910291121,13.721512339999148,-4.905202465380166,7.482338947918601,-1.4153712479717382,13.15299675791255,2.024770151348072,-12.509340233236289,-13.702521938464256
LR_304020_25_L,tools,-2.971124950795973,2.9371012798346703,0.49812236560745404,-5.362864816516611,9.247437466937903,-3.7790537399171313,5.7000161975353025,16.678209069343502,2.7486220645001405,-15.881337149885614,0.8281998465902469,12.063700742665965,-38.72656323018846,1.5009772209991912,0.03421507090837039,8.30638562122405
LR_955465_25_L,body,5.423230135983282,-4.966756284364051,-19.32282114122556,-8.34469993688229,-11.680785716503154,13.484373684591656,-5.257571532749289,12.741169600926588,8.479169965420235,10.62876622702666,-2.481831650048959,-15.108375748795726,4.230552025073389,-10.118742579149988,4.753308005449433,3.0610590038040044
LR_955465_25_L,faces,3.250076938775901,-0.8202167196302457,2.865703696553636,5.569804617634549,15.535714198159095,4.920178425469251,-3.6962824347042527,-4.85653921494638,2.9574556868053516,-5.87002434488509,3.9154723695809133,-2.901153877702777,-16.822197008015443,-3.813907573686163,-0.2492077887201971,-9.513311910169845
LR_955465_25_L,places,-1.8660999876695143,16.666991159321068,12.685872836805025,-10.08478972388354,14.151900068595356,-1.7969093833483285,5.72147103927275,-23.776060007277323,19.525668633612206,0.21872766528061183,6.626622554734832,4.524152528962047,-11.944719215219662,4.566879667483585,13.766102996380255,7.702155446212892
LR_955465_25_L,tools,-2.3859620394473433,-5.76100682752743,-1.710407028378901,4.405757750534267,-2.9644875971708213,2.014143846033246,-2.436566255445232,-0.6383689962512822,1.1421610348244426,3.767725315352448,-0.8496802694136414,-4.6769357716697115,-5.1141635067828135,7.241765414018554,3.3278695530984184,7.786229883891406
LR_145632_25_L,body,3.2212963225744966,-3.368041824428177,-27.243743421826576,-32.29035012804161,0.7054302425620023,-8.858985043184896,0.18364146950563598,9.158469703296566,-25.291145837955593,19.11078890850114,1.4330006219967055,-2.979215676421099,51.94742658441047,-12.706642368621758,14.808731750192774,4.951944900998117
LR_145632_25_L,faces,13.318582092306947,6.617989474081092,-23.115087739373042,-13.364624558273018,10.630563271934228,-0.016803618817571864,8.740448043521216,17.871484309444654,4.97774979566569,1.464720154867621,7.971719714864399,-6.727010151344186,-48.31401525577793,-2.622140570018518,3.116285033642354,-14.781743490271094
LR_145632_25_L,places,3.050381087006163,3.163253912055718,7.752559893687849,0.04459673109090634,-9.905864784847953,6.314122114039837,0.5160004838513668,6.388574543770785,-9.52196723051572,-4.057093840488093,4.474647434275792,-9.68954341542199,-41.411440656289955,8.65812897200336,21.364117815044203,22.990675231913503
LR_145632_25_L,tools,-5.456509059111233,-4.4040880013846815,21.23525121589322,3.7597817965003184,-9.6510834706042,-1.6331001872699364,2.6716293181654653,2.826752556259162,-0.5465962367114097,15.863407077383197,14.554393794867435,1.2212424473224814,-26.90455855337673,1.2957886969984997,8.933002866365024,8.89988224905422
