Subject,Task,LH_salvent_A,LH_salvent_B,LH_cont_A,LH_cont_B,LH_cont_C,LH_default_A,LH_default_B,LH_default_C,RH_salvent_A,RH_salvent_B,RH_cont_A,RH_cont_B,RH_cont_C,RH_default_A,RH_default_B,RH_default_C
LR_955465_25_L,0bk_places,-4.126825523814498,-10.760063594867887,-2.4069884538091495,12.501867361023052,-2.4655598969566928,8.103787902271891,-6.069058213308902,7.500703081140239,-16.17696374699303,3.4036267364101844,-3.0296294072042853,-1.1075929380643204,23.578755472669243,-1.5116437538612875,-1.9353143967522042,2.1626211349134064
LR_955465_25_L,0bk_tools,6.882025101961439,4.143933027885752,-10.86316956468839,-4.625818308909469,8.675785365119687,2.6701940256020205,7.5329906425314,8.101933934232347,7.379580121674889,1.7259019336305124,2.906090089084264,0.6576391374783196,12.6923854960781,-4.7232013752584825,-2.059104618794209,-7.539396195945127
LR_955465_25_L,2bk_body,2.711177202147972,-6.54743184943635,-10.515288912639699,-3.5332160947282523,0.14098074401871202,13.392312035939613,-1.2418773432385866,8.954543493835054,3.5450437861655484,10.054919980924803,2.640121294500053,-3.1697313806121477,2.7645217244779596,-3.7323014129488503,2.7899253324219906,-1.423638807094461
LR_955465_25_L,2bk_faces,5.383696730538148,-1.7022790445338878,4.670064713901989,7.022446260409572,14.21603319370672,7.401797740377157,-1.4030912209138924,-3.2295426249324097,5.775897903599798,-3.215434508150578,7.383516727613355,-0.6822152542112784,-13.79104294037971,-3.459759166431164,-0.7630399884315731,-8.965966158264303
LR_955465_25_L,2bk_places,-5.992925511484012,5.906927564453181,10.278884382995875,2.4170776371395117,11.686340171638664,6.306878518923563,-0.34758717403615225,-16.275356926137086,3.3487048866191738,3.6223544016907963,3.596993147530546,3.4165595908977267,11.634036257449582,3.055235913622297,11.83078859962805,9.864776581126298
LR_955465_25_L,2bk_tools,4.496063062514096,-1.6170737996416782,-12.57357659306729,-0.22006055837520222,5.7112977679488655,4.684337871635266,5.096424387086168,7.463564937981065,8.521741156499331,5.4936272489829605,2.0564098196706224,-4.019296634191392,7.578221989295286,2.518564038760071,1.2687649343042096,0.24683368794627913
LR_145632_25_L,0bk_body,5.405190933227218,0.4749913158421456,9.255553111213676,14.929189276764966,-8.389045273465754,5.165922415241299,0.9528200738482856,-0.7826898624185574,1.2920262019384077,8.0537228296452,-7.019596471385236,4.742933760385867,-5.600850765283411,4.012030217768283,-8.276106032027295,0.6709776938503831
LR_145632_25_L,0bk_faces,0.06309873101288321,0.9835910070618539,-0.08490096337380965,-0.279775379170647,1.2507461888746358,0.6818090650986799,0.36238731128967777,-3.4138252940089684,-2.0883451469887024,1.994798724225461,1.2269312138020163,0.1503110945935513,3.5957738305007076,-0.034434830390669136,0.1243559455609829,1.8429879196742522
LR_145632_25_L,0bk_places,4.936302629801459,1.3309693452067952,-21.883336176698325,6.221840341359916,10.050117118423499,-3.1824683835109164,0.7365418235001231,8.172244462327512,-2.88907586679409,11.333891760432724,-2.254131403464925,0.20907541832811125,6.994454435506637,3.394219495307155,-11.814497687686172,-2.923311839138562
LR_145632_25_L,0bk_tools,0.4564020303231888,1.7841657209613437,-21.71788510088789,-8.931776965248755,8.238378172479624,2.103545882625551,-1.5702463686602668,1.227673122305899,2.71128943967119,-7.04179288022359,-0.4863925595801023,2.9070468373904452,32.179725888444736,12.68112651350105,-0.995065187165914,4.781870447651231
LR_145632_25_L,2bk_body,8.626487255801715,-2.8930505085860316,-17.9881903106129,-17.361160851276644,-7.683615030903752,-3.6930626279435974,1.1364615433539216,8.375779840878009,-23.999119636017184,27.164511738146338,-5.58659584938853,1.763718083964768,46.34657581912706,-8.694612150853475,6.532625718165478,5.6229225948485
LR_145632_25_L,2bk_faces,13.38168082331983,7.601580481142946,-23.19998870274685,-13.644399937443666,11.881309460808865,0.665005446281108,9.102835354810894,14.457659015435684,2.8894046486769875,3.459518879093082,9.198650928666416,-6.576699056750635,-44.71824142527722,-2.6565754004091873,3.240640979203337,-12.938755570596841
LR_145632_25_L,2bk_places,7.986683716807622,4.494223257262513,-14.130776283010476,6.266437072450822,0.1442523335755448,3.131653730528921,1.2525423073514899,14.560819006098297,-12.41104309730981,7.276797919944631,2.220516030810867,-9.480467997093879,-34.416986220783315,12.052348467310514,9.54962012735803,20.06736339277494
LR_145632_25_L,2bk_tools,-5.000107028788044,-2.6199222804233377,-0.48263388499466775,-5.1719951687484365,-1.412705298124577,0.4704456953556144,1.1013829495051985,4.054425678565061,2.1646932029597803,8.821614197159608,14.068001235287333,4.128289284712927,5.275167335068007,13.97691521049955,7.93793767919911,13.681752696705452
